label,mean_intensity,std_intensity,contrast,entropy,gradient
Viral Pneumonia,139.3564,43.010323,0.30863544,28245.414,37.505577
Viral Pneumonia,121.60941,67.22998,0.55283535,23168.53,55.852898
Viral Pneumonia,92.91601,53.90486,0.58014613,21401.176,45.037006
Viral Pneumonia,130.47113,54.56473,0.41821307,26457.186,38.325394
Viral Pneumonia,131.08136,53.91934,0.41134253,26166.5,33.003395
Viral Pneumonia,102.11296,45.066044,0.4413352,23151.97,42.20334
Viral Pneumonia,134.20044,51.18951,0.3814407,26896.082,39.275326
Viral Pneumonia,150.02634,48.79488,0.3252421,28031.2,34.064575
Viral Pneumonia,164.82317,52.809296,0.32039973,25923.77,51.8992
Viral Pneumonia,109.09908,63.91969,0.5858866,22076.643,50.425983
Viral Pneumonia,156.35292,65.8439,0.4211236,23718.844,48.750595
Viral Pneumonia,121.04358,62.68975,0.5179106,23331.383,53.73687
Viral Pneumonia,130.31656,62.680042,0.48098296,24696.377,55.620857
Viral Pneumonia,122.79312,67.68718,0.5512294,23365.844,56.646877
Viral Pneumonia,149.56679,52.63899,0.35194302,26555.389,54.647934
Viral Pneumonia,131.33493,61.350002,0.4671263,24917.082,44.86919
Viral Pneumonia,121.17748,47.89485,0.39524546,26259.21,38.019333
Viral Pneumonia,107.5506,47.289455,0.43969494,23985.953,37.898827
Viral Pneumonia,137.53668,54.27355,0.39461145,26336.152,41.044235
Viral Pneumonia,114.532104,69.20307,0.6042242,22369.996,44.89027
Viral Pneumonia,124.77387,55.608093,0.44567096,25336.12,50.260193
Viral Pneumonia,152.29295,65.167755,0.4279105,23310.34,61.76576
Viral Pneumonia,102.55166,38.84699,0.3788041,24215.668,31.929081
Viral Pneumonia,130.07547,63.55713,0.48861733,23893.754,56.621166
Viral Pneumonia,77.19191,36.523724,0.4731548,18193.164,33.937546
Viral Pneumonia,111.53269,57.03201,0.5113479,23237.342,46.94223
Viral Pneumonia,106.46646,49.51929,0.46511635,23161.098,40.88048
Viral Pneumonia,120.231186,54.16021,0.45046723,24569.143,42.53048
Viral Pneumonia,152.6904,43.2041,0.2829523,28644.766,36.93804
Viral Pneumonia,122.60793,68.396416,0.5578466,22772.752,49.31096
Viral Pneumonia,147.89297,32.64597,0.2207405,30186.535,20.848703
Viral Pneumonia,114.11313,54.34427,0.47623152,23787.502,41.390858
Viral Pneumonia,141.48341,73.02884,0.5161654,22462.873,51.326115
Viral Pneumonia,143.59451,74.57481,0.519343,21265.518,59.861843
Viral Pneumonia,130.8083,56.868042,0.43474337,25637.463,41.65987
Viral Pneumonia,113.34549,69.59354,0.6139948,22062.68,43.67321
Viral Pneumonia,121.21065,60.786556,0.5014952,24112.17,47.500412
Viral Pneumonia,118.34151,66.94668,0.5657075,23080.23,42.928272
Viral Pneumonia,130.56294,65.10293,0.49863252,24016.512,46.596466
Viral Pneumonia,128.57759,61.065147,0.47492838,24411.74,48.201065
Viral Pneumonia,132.1183,71.751785,0.5430874,22865.504,47.54587
Viral Pneumonia,119.48393,61.839386,0.517554,24175.4,40.823032
Viral Pneumonia,115.357605,67.36097,0.58393174,22144.676,49.937077
Viral Pneumonia,125.8307,77.70457,0.6175327,20747.783,65.22816
Viral Pneumonia,101.541985,52.585632,0.51787084,21945.873,46.45618
Viral Pneumonia,109.07878,63.412544,0.5813463,22391.594,53.06602
Viral Pneumonia,82.08229,34.412792,0.41924748,19862.9,35.79386
Viral Pneumonia,135.62534,52.568752,0.38760275,26341.555,42.65983
Viral Pneumonia,88.17902,49.847218,0.56529564,19168.639,38.63087
Viral Pneumonia,115.9288,61.756527,0.5327108,23346.617,49.182175
Viral Pneumonia,112.46445,52.421207,0.4661136,23599.309,45.269035
Viral Pneumonia,128.47746,53.542557,0.41674668,25853.3,33.938145
Viral Pneumonia,107.0838,60.02301,0.5605237,21992.143,59.05696
Viral Pneumonia,106.991646,43.436882,0.40598387,24289.797,31.737228
Viral Pneumonia,104.75444,59.513126,0.5681203,22660.084,48.77644
Viral Pneumonia,160.0967,44.819138,0.2799504,28305.045,39.51861
Viral Pneumonia,113.7697,50.26705,0.44183162,24218.18,48.494076
Viral Pneumonia,124.60186,69.402916,0.5569974,23132.11,53.083908
Viral Pneumonia,146.62823,43.994965,0.3000443,28471.059,36.79205
Viral Pneumonia,110.00118,63.798946,0.5799842,22749.186,38.592506
Viral Pneumonia,108.7016,73.539825,0.6765294,20823.598,46.782692
Viral Pneumonia,155.10338,45.52115,0.2934891,28591.213,32.872974
Viral Pneumonia,93.00612,59.660107,0.6414643,20648.246,47.887123
Viral Pneumonia,131.59915,63.73546,0.48431513,24246.82,51.173256
Viral Pneumonia,115.25775,51.919075,0.45046058,25263.072,47.913124
Viral Pneumonia,109.479515,49.890827,0.45570925,24658.602,43.007698
Viral Pneumonia,127.021675,66.35322,0.52237713,23541.275,44.022976
Viral Pneumonia,117.64784,74.80517,0.6358397,20887.736,59.140274
Viral Pneumonia,121.14355,78.08192,0.6445404,20508.195,59.485676
Viral Pneumonia,145.50658,43.893707,0.30166134,28606.646,25.589872
Viral Pneumonia,144.33446,32.88254,0.22782184,29962.484,22.187544
Viral Pneumonia,120.33835,51.66767,0.42935333,25339.973,44.737377
Viral Pneumonia,142.85132,71.56049,0.5009439,22676.828,51.46185
Viral Pneumonia,120.160095,57.812347,0.48112768,24792.854,47.45716
Viral Pneumonia,129.64644,57.53083,0.44375172,25532.309,42.395718
Viral Pneumonia,156.46323,57.451283,0.3671871,25647.834,48.302708
Lung_Opacity,111.858826,60.049454,0.5368325,22706.025,30.320683
Lung_Opacity,83.13508,58.292892,0.70118284,18380.094,53.310226
Lung_Opacity,108.42757,63.047768,0.5814736,21809.709,28.35515
Lung_Opacity,77.64028,57.184254,0.73652816,16545.004,51.425705
Lung_Opacity,111.54496,53.94881,0.4836508,23839.695,29.61551
Lung_Opacity,118.01646,73.84282,0.62569934,21909.041,68.207825
Lung_Opacity,121.52687,71.6622,0.5896819,22613.076,54.627663
Lung_Opacity,113.45204,55.49042,0.48910907,23749.66,55.420876
Lung_Opacity,158.71991,53.202713,0.33519873,26459.324,42.938187
Lung_Opacity,118.171936,45.21024,0.38258016,25966.36,21.580063
Lung_Opacity,126.91591,55.02339,0.4335421,25354.965,47.23872
Lung_Opacity,108.31108,57.497456,0.53085476,23049.338,35.832813
Lung_Opacity,148.69669,60.62565,0.4077135,24394.93,40.938
Lung_Opacity,121.9065,64.26338,0.527153,22759.26,48.797836
Lung_Opacity,118.48854,53.083923,0.44800892,25561.232,27.55611
Lung_Opacity,117.05771,67.11516,0.573351,22023.336,45.21574
Lung_Opacity,111.58203,42.623257,0.3819903,25227.068,25.868685
Lung_Opacity,95.61964,62.481876,0.6534419,20497.93,37.98055
Lung_Opacity,154.68896,55.912045,0.36144817,25324.672,40.413513
Lung_Opacity,173.10661,51.369904,0.296753,24598.047,33.060574
Lung_Opacity,170.6057,50.59158,0.29654098,25635.502,38.72081
Lung_Opacity,155.73409,54.529087,0.35014227,26029.977,35.07835
Lung_Opacity,124.90783,78.517105,0.62860036,19919.53,48.52909
Lung_Opacity,66.20246,82.002914,1.2386687,11667.312,42.934616
Lung_Opacity,113.69007,47.03617,0.41372275,25143.621,38.696148
Lung_Opacity,129.48311,58.149864,0.44909227,24912.93,45.467873
Lung_Opacity,124.34143,40.229946,0.32354417,27482.594,47.86909
Lung_Opacity,114.87084,54.36575,0.47327718,24325.775,23.112095
Lung_Opacity,135.78868,55.145695,0.40611407,25628.742,39.259144
Lung_Opacity,115.16727,73.12181,0.63491833,20600.77,49.736324
Lung_Opacity,119.01594,58.218197,0.48916304,24600.943,32.80142
Lung_Opacity,118.79326,42.92521,0.3613438,26688.22,26.864685
Lung_Opacity,169.24908,52.90416,0.31258166,24852.39,33.496464
Lung_Opacity,164.12962,62.381947,0.3800773,23514.896,46.218945
Lung_Opacity,151.18823,55.690357,0.36835113,25868.633,38.764503
Lung_Opacity,167.0182,49.086815,0.293901,26694.143,24.976805
Lung_Opacity,121.75575,53.80546,0.4419131,24894.709,53.772026
Lung_Opacity,162.00584,53.506237,0.3302735,25455.191,33.481277
Lung_Opacity,126.68796,78.77494,0.6218029,18533.307,25.056318
Lung_Opacity,128.97505,66.89326,0.5186527,22782.012,43.16713
Lung_Opacity,146.93306,64.00725,0.43562183,23539.81,37.579834
Lung_Opacity,132.14618,65.683365,0.4970508,23510.48,49.08616
Lung_Opacity,131.42654,58.25636,0.44326174,25671.914,33.379417
Lung_Opacity,110.83206,52.277916,0.47168586,24355.012,22.803326
Lung_Opacity,140.83107,68.198135,0.4842549,22642.2,45.862366
Lung_Opacity,109.104576,75.61825,0.6930804,18209.848,40.410946
Lung_Opacity,159.19537,61.192337,0.38438514,24322.145,47.20118
Lung_Opacity,124.43404,58.69332,0.47168222,24601.967,35.021927
Lung_Opacity,115.757355,64.79064,0.5597108,22531.582,42.959084
Lung_Opacity,125.93598,53.7622,0.426901,25261.053,33.024242
Lung_Opacity,130.03505,58.595493,0.45061308,25142.871,49.22305
Lung_Opacity,110.25399,60.26205,0.5465748,22857.07,37.2033
Lung_Opacity,115.201195,45.63352,0.3961202,25157.15,38.911232
Lung_Opacity,112.29587,40.897213,0.36419162,25779.97,22.403566
Lung_Opacity,141.60811,64.612526,0.456277,24387.143,35.704475
Lung_Opacity,113.30067,41.892788,0.36974883,25747.904,35.66627
Lung_Opacity,123.250275,47.144264,0.3825084,25947.951,17.36666
Lung_Opacity,112.29368,52.03553,0.46338788,24136.4,29.94825
Lung_Opacity,110.73206,47.178364,0.42605874,24572.93,37.449688
Lung_Opacity,89.19443,67.35301,0.75512576,18578.453,61.66005
Lung_Opacity,132.29358,53.8434,0.40699935,26322.07,41.25467
Lung_Opacity,120.43531,56.353104,0.4679118,24457.01,55.39607
Lung_Opacity,100.19104,53.846348,0.5374368,21968.559,50.790333
Lung_Opacity,105.575096,58.486176,0.553977,22523.75,34.620186
Lung_Opacity,117.79419,57.36906,0.48702794,23946.016,34.417282
Lung_Opacity,180.12993,50.388493,0.27973416,24105.367,40.574554
Lung_Opacity,164.61687,59.157967,0.35936758,23904.156,42.516552
Lung_Opacity,117.35928,55.368347,0.47178498,24107.873,37.747196
Lung_Opacity,179.87395,41.98738,0.23342669,26208.484,16.057909
Lung_Opacity,128.2607,52.05788,0.40587553,25495.748,21.23899
Lung_Opacity,117.00065,54.46002,0.46546766,24792.01,39.6641
Lung_Opacity,113.48063,50.826702,0.4478888,24449.99,41.244656
Lung_Opacity,161.9385,48.499184,0.29949135,27584.629,33.91989
Lung_Opacity,121.43966,44.54138,0.3667779,26168.512,42.77768
Lung_Opacity,108.25324,50.38278,0.4654159,23726.72,31.771458
Lung_Opacity,147.37973,55.15412,0.3742314,26608.326,44.811882
Lung_Opacity,104.401474,39.902485,0.38220233,24242.297,23.867645
Lung_Opacity,167.9698,51.63296,0.3073943,25677.492,48.755123
Lung_Opacity,106.78208,65.62097,0.6145317,20431.541,35.400387
Lung_Opacity,173.88525,46.168236,0.26550978,26171.293,27.042852
Lung_Opacity,107.52084,69.47778,0.6461797,20405.541,65.363976
Lung_Opacity,158.1109,60.679565,0.3837785,23692.09,29.41159
Lung_Opacity,125.86936,61.322994,0.48719555,24088.422,54.62307
