image_path,label
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-770.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1186.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1192.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-764.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-994.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-980.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-758.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1145.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1151.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-957.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1179.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-943.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-214.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-572.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-566.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-200.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-228.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-599.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-360.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-406.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-412.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-374.png,Viral Pneumonia
